match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-04-23,England: Premier League,Blackburn,Manchester City,0,0,2.2555,3.2182,2.9264,D,0.40459624062304433,0.2835643591837911,0.31183940019316453
2005-04-23,England: Premier League,Crystal Palace,Liverpool,1,0,3.6391,3.3773,1.9009,H,0.25050561378130926,0.2699241936196259,0.47957019259906497
2005-04-23,England: Premier League,Middlesbrough,West Brom,4,0,1.9173,3.2945,3.68,H,0.4755167403650166,0.2767364535746991,0.24774680606028432
2005-04-23,England: Premier League,Norwich,Charlton,1,0,2.1636,3.3282,3.0018,H,0.42178989111032106,0.2741976468981103,0.30401246199156867
2005-04-24,England: Premier League,Portsmouth,Southampton,4,1,2.195,3.211,3.022,H,0.4149501838287725,0.2836548282479463,0.3013949879232812
2005-04-24,England: Premier League,Manchester United,Newcastle Utd,2,1,1.317,4.463,8.455,H,0.689246945317546,0.20339193972287878,0.10736111495957518
2005-04-25,England: Premier League,Arsenal,Tottenham,1,0,1.4664,3.6882,6.9564,H,0.621739361580828,0.24719879611250098,0.13106184230667098
2005-04-26,England: Premier League,West Brom,Blackburn,1,1,1.9991,3.2936,3.4327,D,0.45675978729579814,0.2772372148357512,0.2660029978684505
2005-04-27,England: Premier League,Newcastle Utd,Middlesbrough,0,0,2.108,3.235,3.181,D,0.4320946857090286,0.2815627812904582,0.28634253300051316
2005-04-30,England: Premier League,Birmingham,Blackburn,2,1,2.11,3.1889,3.25,H,0.43273166050410683,0.2863256306763039,0.2809427088195894
2005-04-30,England: Premier League,Fulham,Everton,2,0,2.69,3.2,2.4233,H,0.3389047541441924,0.28489180895246174,0.37620343690334573
2005-04-30,England: Premier League,Liverpool,Middlesbrough,1,1,1.691,3.393,4.778,D,0.5398714538970188,0.2690606037547478,0.19106794234823338
2005-04-30,England: Premier League,Manchester City,Portsmouth,2,0,1.749,3.326,4.431,H,0.5206771545399903,0.2738016666537712,0.20552117880623855
2005-04-30,England: Premier League,Newcastle Utd,Crystal Palace,0,0,1.816,3.369,3.909,D,0.49910129393435654,0.26903174526114326,0.2318669608045003
2005-04-30,England: Premier League,Southampton,Norwich,4,3,2.026,3.31,3.321,H,0.45001628531411825,0.2754480344551068,0.2745356802307749
2005-04-30,England: Premier League,Bolton,Chelsea,0,2,3.625,3.225,1.9225,A,0.24940164321845557,0.2803351803618299,0.4702631764197146
2005-05-01,England: Premier League,Tottenham,Aston Villa,5,1,1.9009,3.2845,3.7691,H,0.48005686018038674,0.2778322683869378,0.24211087143267546
2005-05-01,England: Premier League,Charlton,Manchester United,0,4,5.28,3.568,1.582,A,0.17189904331072764,0.25437975019076287,0.5737212064985094
2005-05-02,England: Premier League,West Brom,Arsenal,0,2,5.7,3.576,1.543,A,0.15903150754719525,0.2534898190769052,0.5874786733758995
2005-05-04,England: Premier League,Fulham,Newcastle Utd,1,3,2.1691,3.1945,3.1055,A,0.4206132005059517,0.2856009056871059,0.2937858938069424
2005-05-07,England: Premier League,Aston Villa,Manchester City,1,2,2.2491,3.2445,2.8882,A,0.40454315004454017,0.2804308826522346,0.3150259673032253
2005-05-07,England: Premier League,Blackburn,Fulham,1,3,1.9873,3.2073,3.5264,A,0.458050168006071,0.28381601311959126,0.25813381887433784
2005-05-07,England: Premier League,Chelsea,Charlton,1,0,1.2936,4.5127,9.3027,H,0.7014029176181619,0.20106251561833366,0.09753456676350461
2005-05-07,England: Premier League,Crystal Palace,Southampton,2,2,2.1636,3.2582,3.0409,D,0.4209555869477888,0.27953456138979677,0.2995098516624144
2005-05-07,England: Premier League,Everton,Newcastle Utd,2,0,1.6845,3.3582,4.7936,H,0.5396613168330859,0.2706984361280845,0.18964024703882953
2005-05-07,England: Premier League,Middlesbrough,Tottenham,1,0,2.2445,3.2,2.94,H,0.4057055797023015,0.2845644292630674,0.30972999103463117
2005-05-07,England: Premier League,Norwich,Birmingham,1,0,1.8409,3.4391,3.7636,H,0.4939690967987514,0.264414442818418,0.24161646038283066
2005-05-07,England: Premier League,Portsmouth,Bolton,1,1,2.7809,3.2673,2.3045,D,0.32702642444251506,0.2783422960034861,0.39463127955399874
2005-05-07,England: Premier League,Manchester United,West Brom,1,1,1.2933,4.85,8.8311,D,0.7076599241715653,0.1887044494703269,0.10363562635810776
